词语,拼音,频序号
鞍前马后,ānqiánmǎhòu,45001
暧昧,àimèi,17356
安全套,ānquántào,23940
鞍子,ānzi,39188
安,ān,1652
安全系数,ānquánxìshù,29585
俺,ǎn,2678
安步当车,ānbùdàngchē,53860
安然,ānrán,11765
埯,ǎn,52436
安插,ānchā,27965
安然无恙,ānránwúyàng,18005
岸,àn,4694
安抵,āndǐ,46481
安如磐石,ānrúpánshí,56621
岸基,ànjī,39720
安定,āndìng,4969
安如泰山,ānrútàishān,55853
岸然,ànrán,51207
安度,āndù,28214
安设,ānshè,43488
按,àn,279
安顿,āndùn,15264
安身,ānshēn,27393
按兵不动,ànbīngbùdòng,27394
安放,ānfàng,15382
安身立命,ānshēnlìmìng,27632
按部就班,ànbùjiùbān,25523
安分,ānfèn,19277
安神,ānshén,35069
按键,ànjiàn,32798
安分守己,ānfènshǒujǐ,30787
安生,ānshēng,22733
按揭,ànjiē,23350
安抚,ānfǔ,16528
安适,ānshì,31812
按金,ànjīn,49222
安好,ānhǎo,37120
安睡,ānshuì,29301
按理,ànlǐ,31222
安徽,ānhuī,3004
安泰,āntài,39612
按例,ànlì,49720
安家,ānjiā,21745
安土重迁,āntǔzhòngqiān,54348
按脉,ànmài,52880
安家费,ānjiāfèi,34316
安危,ānwēi,10255
按摩,ànmó,10317
安家立业,ānjiālìyè,34484
安慰,ānwèi,3886
按捺,ànnà,26294
安家落户,ānjiāluòhù,29233
安稳,ānwěn,14737
按钮,ànniǔ,19095
安检,ānjiǎn,20868
安息,ānxī,18992
按期,ànqī,12857
安静,ānjìng,5131
安闲,ānxián,25812
按时,ànshí,5704
安居,ānjū,16111
安详,ānxiáng,12454
按说,ànshuō,19594
安居工程,ānjūgōngchéng,28730
安享,ānxiǎng,34085
按图索骥,àntúsuǒjì,39815
安居乐业,ānjūlèyè,10137
安歇,ānxiē,38595
按压,ànyā,37662
安康,ānkāng,12806
安心,ānxīn,4192
按语,ànyǔ,35411
安乐,ānlè,19970
安养,ānyǎng,54887
按照,ànzhào,634
安乐死,ānlèsǐ,38594
安逸,ānyì,18718
案,àn,1109
安乐窝,ānlèwō,38024
安营,ānyíng,37473
案板,ànbǎn,29391
安乐椅,ānlèyǐ,44999
安营扎寨,ānyíngzhāzhài,27887
案底,àndǐ,35388
安理会,ānlǐhuì,4767
安于,ānyú,25272
案牍,àndú,49329
安谧,ānmì,37297
安葬,ānzàng,17427
案发,ànfā,14106
安眠,ānmián,33322
安之若素,ānzhīruòsù,44029
案犯,ànfàn,20408
安眠药,ānmiányào,21456
安置,ānzhì,2646
案件,ànjiàn,1462
安民告示,ānmíngàoshi,46482
安装,ānzhuāng,3206
案卷,ànjuàn,23456
安宁,ānníng,6771
桉树,ānshù,32797
案例,ànlì,7234
安排,ānpái,613
氨,ān,11216
案情,ànqíng,11402
案头,àntóu,18360
暗算,ànsuàn,27168
鏖战,áozhàn,20170
案由,ànyóu,36614
暗锁,ànsuǒ,52437
袄,ǎo,12970
案值,ànzhí,13351
暗探,àntàn,42492
拗,ào,9945
案子,ànzi,6565
暗无天日,ànwútiānrì,40455
拗口,àokǒu,41782
暗,àn,2610
暗喜,ànxǐ,42018
傲,ào,9792
暗暗,àn'àn,6296
暗线,ànxiàn,55412
傲岸,ào'àn,47067
暗堡,ànbǎo,45880
暗箱操作,ànxiāngcāozuò,17918
傲骨,àogǔ,35981
暗补,ànbǔ,53861
暗想,ànxiǎng,16309
傲慢,àomàn,13631
暗藏,àncáng,25587
暗笑,ànxiào,26665
傲气,àoqì,25211
暗娼,ànchāng,35071
暗语,ànyǔ,40456
傲然,àorán,23716
暗场,ànchǎng,56338
暗喻,ànyù,46483
傲世,àoshì,54888
暗潮,àncháo,50434
暗中,ànzhōng,6312
傲视,àoshì,32036
暗处,ànchù,20088
暗转,ànzhuǎn,55855
奥,ào,6611
暗疮,ànchuāng,48202
暗自,ànzì,12185
奥林匹克,àolínpǐkè,5211
暗淡,àndàn,14508
黯然,ànrán,17818
奥秘,àomì,11209
暗道,àndào,38025
黯然神伤,ànránshénshāng,36290
奥妙,àomiào,17559
暗地,àndì,10539
黯然失色,ànránshīsè,30233
奥斯卡,àosīkǎ,5054
暗地里,àndìli,17270
肮脏,āngzāng,10449
奥委会,àowěihuì,14550
暗房,ànfáng,47675
昂,áng,9256
奥援,àoyuán,50810
暗访,ànfǎng,14881
昂贵,ángguì,10768
奥运会,àoyùnhuì,2429
暗沟,àngōu,51208
昂然,ángrán,19307
澳,ào,3940
暗害,ànhài,43489
昂首,ángshǒu,18214
澳大利亚,àodàlìyà,3088
暗含,ànhán,38026
昂首阔步,ángshǒukuòbù,34926
澳抗,àokàng,53862
暗号,ànhào,24947
昂扬,ángyáng,10556
澳门,àomén,2476
暗合,ànhé,38596
盎然,àngrán,15477
澳洲,àozhōu,13547
暗河,ànhé,40036
盎司,àngsī,29795
懊悔,àohuǐ,14839
暗盒,ànhé,56339
凹,āo,10380
懊恼,àonǎo,17333
暗红,ànhóng,32920
凹版,āobǎn,52881
懊丧,àosàng,22375
暗疾,ànjí,55854
凹镜,āojìng,56686
鏊子,àozi,45882
暗记,ànjì,48973
凹面,āomiàn,55856
八,bā,355
暗箭,ànjiàn,41333
凹凸,āotū,41334
八拜之交,bābàizhījiāo,55413
暗礁,ànjiāo,32655
凹陷,āoxiàn,24879
八宝饭,bābǎofàn,47990
暗扣儿,ànkòur,50809
熬,āo,37121
八宝箱,bābǎoxiāng,50743
暗里,ànlǐ,25886
敖包,áobāo,42019
八宝粥,bābǎozhōu,49330
暗恋,ànliàn,37663
遨游,áoyóu,20651
八輩子,bābèizi,43490
暗流,ànliú,34201
嗷嗷,áo'áo,29586
八成,bāchéng,16558
暗绿,ànlǜ,42757
嗷嗷待哺,áo'áodàibǔ,39189
八方,bāfāng,19096
暗泣,ànqì,47676
獒,áo,45881
八哥,bāge,17714
暗器,ànqì,48974
熬,áo,4327
八股,bāgǔ,26295
暗渠,ànqú,51736
熬出头,áochūtóu,48619
八卦,bāguà,21746
暗杀,ànshā,11406
熬冬,áodōng,53764
八卦掌,bāguàzhǎng,53863
暗伤,ànshāng,51996
熬煎,áojiān,30127
八角,bājiǎo,17895
暗哨,ànshào,55411
熬夜,áoyè,27395
八角帽,bājiǎomào,51587
暗示,ànshì,6556
熬制,áozhì,27674
八角形,bājiǎoxíng,48620
暗室,ànshì,38766
螯,áo,33428
八九不离十,bājiǔbùlíshí,32516
暗送秋波,ànsòngqiūbō,51586
翱翔,áoxiáng,20450
八路,bālù,18274
八路军,bālùjūn,7835
笆斗,bādǒu,54349
把晤,bǎwù,47708
八面玲珑,bāmiànlínglóng,43492
拔,bá,3793
把戏,bǎxì,12246
八面威风,bāmiànwēifēng,45281
拔步,bábù,47992
把兄弟,bǎxiōngdì,39394
八旗,bāqí,18868
拔除,báchú,36944
把盏,bǎzhǎn,47358
八仙,bāxiān,24743
拔刀相助,bádāoxiāngzhù,43272
把子,bǎzi,20557
八仙过海,bāxiānguòhǎi,35072
拔地而起,bádì'érqǐ,17043
靶,bǎ,12815
八仙桌,bāxiānzhuō,23941
拔高,bágāo,26530
靶场,bǎchǎng,26597
八一,bāyī,4478
拔罐子,báguànzi,55417
靶心,bǎxīn,44749
八音盒,bāyīnhé,55414
拔河,báhé,25888
靶子,bǎzi,24354
八月节,bāyuèjié,46182
拔火罐,báhuǒguàn,52438
坝,bà,5400
八字,bāzì,13352
拔尖,bájiān,18458
坝地,bàdì,39190
八字步,bāzìbù,47357
拔脚,bájiǎo,37299
坝基,bàjī,53865
八字胡,bāzìhú,46484
拔节,bájié,28914
坝身,bàshēn,55859
八字脚,bāzìjiǎo,53349
拔锚,bámáo,53864
坝址,bàzhǐ,29701
八字没一撇,bāzìméiyīpiě,54764
拔苗助长,bámiáozhùzhǎng,37849
坝子,bàzi,28549
八字眉,bāzìméi,55857
拔取,báqǔ,53350
把儿,bàr,20258
八字形,bāzìxíng,55415
拔丝,básī,54890
爸,bà,3331
巴,bā,1411
拔腿,bátuǐ,24425
爸爸,bàba,1576
巴巴,bābā,44498
拔营,báyíng,36945
耙,bà,36946
巴比伦,bābǐlún,33685
拔擢,bázhuó,47068
耙地,bàdì,48621
巴不得,bābudé,14941
跋,bá,11933
罢,bà,2582
巴豆,bādòu,46777
跋扈,báhù,25461
罢黜,bàchù,42211
巴基斯坦,bājīsītǎn,3480
跋山涉水,báshānshèshuǐ,30445
罢工,bàgōng,10745
巴结,bājie,15317
跋涉,báshè,12392
罢官,bàguān,26598
巴黎,bālí,2626
跋文,báwén,50811
罢教,bàjiào,54350
巴儿狗,bārgǒu,55858
把,bǎ,22
罢课,bàkè,29093
巴山蜀水,bāshānshǔshuǐ,48296
把柄,bǎbǐng,20869
罢了,bàle,4741
巴士,bāshì,22229
把持,bǎchí,19856
罢了,bàliǎo,16310
巴望,bāwàng,25887
把舵,bǎduò,50812
罢免,bàmiǎn,9177
巴掌,bāzhang,8817
把风,bǎfēng,52439
罢赛,bàsài,41335
扒,bā,6991
把关,bǎguān,8642
罢市,bàshì,32151
扒车,bāchē,55416
把家,bǎjiā,50436
罢手,bàshǒu,27807
扒拉,bāla,31920
把酒,bǎjiǔ,21367
罢休,bàxiū,15115
扒皮,bāpí,50435
把口儿,bǎkǒur,46485
罢演,bàyǎn,48297
叭,bā,10156
把揽,bǎlǎn,53351
罢战,bàzhàn,48622
芭蕉,bājiāo,22178
把牢,bǎláo,52440
鲅鱼,bàyú,51588
芭蕉扇,bājiāoshàn,36291
把脉,bǎmài,29302
霸,bà,7171
芭蕾,bālěi,12332
把门,bǎmén,14604
霸道,bàdào,27091
芭蕾舞,bālěiwǔ,14472
把尿,bǎniào,51209
霸道,bàdao,19533
吧嗒,"bādā,bāda",34634
把式,bǎshi,20652
霸气,bàqì,25273
吧唧,"bājī,bāji",47991
把手,bǎshou,23066
霸权,bàquán,14365
吧女,bānǚ,54889
把守,bǎshǒu,16083
霸市,bàshì,32656
吧台,bātái,24635
把水搅浑,bǎshuǐjiǎohún,54891
霸王,bàwáng,17334
疤,bā,12793
把头,bǎtóu,18779
霸王鞭,bàwángbiān,48975
疤痕,bāhén,22642
把玩,bǎwán,27633
霸业,bàyè,41783
捌,bā,27712
把握,bǎwò,1432
霸占,bàzhàn,19180
霸主,bàzhǔ,20825
白花花,báihuāhuā,21200
白人,báirén,10778
吧,ba,1935
白化病,báihuàbìng,55419
白刃,báirèn,39191
掰,bāi,14761
白话,báihuà,12531
白日,báirì,17190
掰开,bāikāi,29094
白话诗,báihuàshī,36615
白日梦,báirìmèng,33686
掰腕子,bāiwànzi,55860
白话文,báihuàwén,22179
白日做梦,báirìzuòmèng,45883
白,bái,700
白桦,báihuà,26666
白肉,báiròu,40901
白皑皑,bái'ái'ái,43785
白晃晃,báihuǎnghuǎng,44750
白色,báisè,3188
白案,bái'àn,54351
白灰,báihuī,27713
白色恐怖,báisèkǒngbù,27635
白白,báibái,8922
白金,báijīn,25741
白色垃圾,báisèlājī,44500
白班,báibān,46183
白金汉宫,báijīnhàngōng,39816
白色污染,báisèwūrǎn,29906
白板,báibǎn,47993
白净,báijing,20048
白生生,báishēngshēng,40038
白报纸,báibàozhǐ,52441
白酒,báijiǔ,12884
白食,báishí,48976
白璧微瑕,báibìwēixiá,52442
白驹过隙,báijūguòxì,51997
白事,báishì,40902
白璧无瑕,báibìwúxiá,55418
白卷,báijuàn,48624
白手起家,báishǒuqǐjiā,25524
白菜,báicài,11443
白开水,báikāishuǐ,28379
白薯,báishǔ,21615
白菜价,báicàijià,42203
白蜡,báilà,42260
白水,báishuǐ,27169
白茬儿,báichár,44030
白兰花,báilánhuā,44260
白汤,báitāng,53867
白吃,báichī,23995
白兰地,báilándì,25462
白糖,báitáng,21691
白痴,báichī,25154
白兰瓜,báilánguā,47359
白天,báitiān,1980
白炽灯,báichìdēng,33949
白梨,báilí,48298
白天鹅,báitiāné,25954
白醋,báicù,53352
白痢,báilì,56340
白条,báitiáo,15683
白搭,báidā,29488
白鲢,báilián,47069
白条猪,báitiáozhū,56341
白大褂,báidàguà,22376
白脸,báiliǎn,19245
白铁,báitiě,46486
白带,báidài,51210
白领,báilǐng,18752
白铁皮,báitiěpí,55861
白道,báidào,54352
白鹭,báilù,18492
白厅,báitīng,52443
白地,báidì,37300
白露,báilù,34927
白铜,báitóng,39395
白癜风,báidiànfēng,48623
白马王子,báimǎwángzǐ,36947
白头,báitóu,45003
白丁,báidīng,42758
白茫茫,báimángmáng,20124
白头翁,báitóuwēng,49721
白垩,bái'è,37122
白蒙蒙,báiméngméng,49331
白头偕老,báitóuxiélǎo,36948
白矾,báifán,53866
白米,báimǐ,33429
白玩儿,báiwánr,51590
白饭,báifàn,41561
白面,báimiàn,15047
白文,báiwén,43273
白费,báifèi,18491
白面儿,báimiànr,28140
白皙,báixī,18584
白费蜡,báifèilà,54892
白面书生,báimiànshūshēng,40037
白细胞,báixìbāo,20331
白粉,báifěn,21199
白描,báimiáo,29392
白熊,báixióng,48299
白粉病,báifěnbìng,46184
白沫,báimò,27714
白血病,báixuèbìng,15918
白干儿,báigānr,45583
白木耳,báimù'ěr,54893
白血球,báixuèqiú,40903
白宫,báigōng,7786
白内障,báinèizhàng,16637
白眼,báiyǎn,17167
白骨,báigǔ,27634
白嫩,báinèn,26599
白眼儿狼,báiyǎnrláng,55862
白骨精,báigǔjīng,44499
白胖,báipàng,37850
白眼珠,báiyǎnzhū,47070
白鹳,báiguàn,43493
白皮书,báipíshū,13984
白杨,báiyáng,17454
白果,báiguǒ,35540
白皮松,báipísōng,42759
白药,báiyào,37123
白鹤,báihè,23158
白旗,báiqí,22547
白夜,báiyè,40039
白喉,báihóu,34635
白鳍豚,báiqítún,33552
白衣天使,báiyītiānshǐ,18611
白狐,báihú,51589
白饶,báiráo,49332
白蚁,báiyǐ,22283
白虎,báihǔ,32921
白热,báirè,45002
白银,báiyín,15566
白花,báihuā,18719
白热化,báirèhuà,23402
白玉,báiyù,27808
白玉兰,báiyùlán,34494
百年不遇,bǎiniánbùyù,25012
摆脱,bǎituō,2804
白云,báiyún,7138
百年大计,bǎiniándàjì,28471
摆样子,bǎiyàngzi,41785
白斩鸡,báizhǎnjī,53353
百日咳,bǎirìké,45282
摆正,bǎizhèng,18056
白芷,báizhǐ,50437
百事通,bǎishìtōng,51212
摆子,bǎizi,37301
白纸黑字,báizhǐhēizì,32265
百思不解,bǎisībùjiě,47677
败,bài,2561
白种人,báizhǒngrén,38597
百万,bǎiwàn,3807
败北,bàiběi,21525
白昼,báizhòu,19097
百闻不如一见,bǎiwénbùrúyījiàn,36616
败笔,bàibǐ,35073
白字,báizì,33687
败兵,bàibīng,40041
白族,báizú,17863
百无禁忌,bǎiwújìnjì,47071
败毒,bàidú,56622
拜拜,báibái,24462
百无聊赖,bǎiwúliáolài,29303
败坏,bàihuài,10564
百,bǎi,459
百无一是,bǎiwúyīshì,43647
败火,bàihuǒ,49723
百般,bǎibān,16792
百姓,bǎixìng,1518
败绩,bàijì,24478
百宝箱,bǎibǎoxiāng,40457
百业,bǎiyè,25212
败家,bàijiā,36617
百倍,bǎibèi,17067
百叶,bǎiyè,42020
败家子,bàijiāzǐ,28831
百病,bǎibìng,29489
百叶窗,bǎiyèchuāng,38598
败将,bàijiàng,39192
百步穿杨,bǎibùchuānyáng,49333
百依百顺,bǎiyībǎishùn,34202
败局,bàijú,31813
百尺竿头,bǎichǐgāntóu,37851
百战百胜,bǎizhànbǎishèng,35832
败军,bàijūn,37302
百儿八十,bǎierbāshí,46185
百战不殆,bǎizhànbùdài,42760
败类,bàilèi,24808
百发百中,bǎifābǎizhòng,41784
百折不回,bǎizhébùhuí,43494
败露,bàilù,27170
百废待举,bǎifèidàijǔ,49568
百折不挠,bǎizhébùnáo,18912
败落,bàiluò,34086
百废待兴,bǎifèidàixīng,28830
百褶裙,bǎizhěqún,44261
败诉,bàisù,17864
百废俱兴,bǎifèijùxīng,50726
佰,bǎi,30673
败退,bàituì,23658
百分,bǎifēn,20014
柏,bǎi,16986
败亡,bàiwáng,28832
百分比,bǎifēnbǐ,23010
柏树,bǎishù,20089
败象,bàixiàng,53869
百分点,bǎifēndiǎn,3643
柏油,bǎiyóu,21747
败兴,bàixìng,32799
百分号,bǎifēnhào,53799
柏油路,bǎiyóulù,19308
败絮,bàixù,43274
百分率,bǎifēnlǜ,55863
摆,bǎi,951
败血症,bàixuèzhèng,40250
百分数,bǎifēnshù,51211
摆布,bǎibù,15741
败叶,bàiyè,39396
百分之百,bǎifēnzhībǎi,10905
摆荡,bǎidàng,49722
败仗,bàizhàng,18361
百分制,bǎifēnzhì,38213
摆动,bǎidòng,13353
败阵,bàizhèn,39613
百感交集,bǎigǎnjiāojí,25274
摆渡,bǎidù,28380
拜,bài,3996
百官,bǎiguān,9803
摆放,bǎifàng,10034
拜把子,bàibǎzi,46778
百合,bǎihé,19658
摆架子,bǎijiàzi,31696
拜别,bàibié,43786
百合花,bǎihéhuā,31921
摆件,bǎijiàn,53868
拜辞,bàicí,40905
百花奖,bǎihuājiǎng,36292
摆酒,bǎijiǔ,42021
拜倒,bàidǎo,34203
百花齐放,bǎihuāqífàng,13933
摆阔,bǎikuò,40904
拜读,bàidú,28141
百货,bǎihuò,14840
摆擂台,bǎilèitái,49334
拜访,bàifǎng,9692
百家姓,bǎijiāxìng,32657
摆列,bǎiliè,40681
拜佛,bàifó,28634
百家争鸣,bǎijiāzhēngmíng,18459
摆龙门阵,bǎilóngménzhèn,46487
拜服,bàifú,47361
百科全书,bǎikēquánshū,19212
摆弄,bǎinòng,15760
拜官,bàiguān,50813
百孔千疮,bǎikǒngqiānchuāng,45884
摆拍,bǎipāi,37222
拜贺,bàihè,44263
百口莫辩,bǎikǒumòbiàn,52444
摆平,bǎipíng,25213
拜会,bàihuì,18419
百里挑一,bǎilǐtiāoyī,40040
摆谱儿,bǎipǔr,42493
拜见,bàijiàn,24584
百灵,bǎilíng,23657
摆设,bǎishè,44262
拜金,bàijīn,40251
百忙,bǎimáng,33179
摆设,bǎishe,12827
拜金主义,bàijīnzhǔyì,19686
百年,bǎinián,3589
摆摊儿,bǎitānr,47360
拜客,bàikè,47678
拜领,bàilǐng,48977
斑白,bānbái,27318
板条,bǎntiáo,47680
拜年,bàinián,9441
斑斑,bānbān,15296
板鸭,bǎnyā,43276
拜请,bàiqǐng,54894
斑驳,bānbó,18057
板牙,bǎnyá,44752
拜师,bàishī,26600
斑驳陆离,bānbólùlí,47072
板眼,bǎnyǎn,27551
拜寿,bàishòu,31326
斑点,bāndiǎn,23272
板油,bǎnyóu,50815
拜堂,bàitáng,37303
斑痕,bānhén,45283
板障,bǎnzhàng,51999
拜天地,bàitiāndì,43275
斑鸠,bānjiū,33430
板滞,bǎnzhì,50816
拜托,bàituō,19119
斑斓,bānlán,21161
板子,bǎnzi,17335
拜望,bàiwàng,35412
斑马,bānmǎ,29490
版,bǎn,1115
拜物教,bàiwùjiào,54353
斑马线,bānmǎxiàn,34764
版本,bǎnběn,8482
拜谢,bàixiè,21840
斑蝥,bānmáo,54895
版次,bǎncì,6570
拜谒,bàiyè,21408
斑秃,bāntū,55421
版画,bǎnhuà,14335
稗草,bàicǎo,47362
斑纹,bānwén,41786
版面,bǎnmiàn,11460
稗官野史,bàiguānyěshǐ,55420
斑竹,bānzhú,45885
版权,bǎnquán,8937
稗子,bàizi,44751
搬,bān,2304
版权页,bǎnquányè,48300
扳,bān,10362
搬兵,bānbīng,51591
版式,bǎnshì,31327
扳倒,bāndǎo,37664
搬家,bānjiā,9557
版税,bǎnshuì,31440
扳道,bāndào,53870
搬弄,bānnòng,41787
版图,bǎntú,15883
扳动,bāndòng,45584
搬弄是非,bānnòngshìfēi,42525
办,bàn,261
扳机,bānjī,30234
搬迁,bānqiān,6266
办案,bàn'àn,4440
扳手,bānshou,38767
搬移,bānyí,50086
办报,bànbào,18460
扳子,bānzi,53871
搬用,bānyòng,39614
办差,bànchāi,52000
班,bān,961
搬运,bānyùn,12404
办法,bànfǎ,273
班禅,bānchán,13154
瘢痕,bānhén,42761
办公,bàngōng,3216
班车,bānchē,15644
癍,bān,52445
办公楼,bàngōnglóu,9213
班次,bāncì,23271
板,bǎn,1920
办公室,bàngōngshì,831
班底,bāndǐ,34636
板报,bǎnbào,28053
办公厅,bàngōngtīng,4762
班房,bānfáng,35982
板壁,bǎnbì,27092
办公桌,bàngōngzhuō,10987
班会,bānhuì,31697
板擦儿,bǎncār,47679
办货,bànhuò,45004
班机,bānjī,21113
板材,bǎncái,23827
办理,bànlǐ,1801
班级,bānjí,12603
板床,bǎnchuáng,40906
办事,bànshì,1774
班轮,bānlún,35413
板凳,bǎndèng,10287
办事处,bànshìchù,4847
班门弄斧,bānménnòngfǔ,44031
板房,bǎnfáng,50438
办事员,bànshìyuán,22489
班期,bānqī,49724
板斧,bǎnfǔ,36454
办学,bànxué,3955
班师,bānshī,21068
板胡,bǎnhú,48625
办罪,bànzuì,53872
班长,bānzhǎng,4390
板结,bǎnjié,30348
半,bàn,285
班主任,bānzhǔrèn,8803
板块,bǎnkuài,10480
半百,bànbǎi,32533
班子,bānzi,3518
板蓝根,bǎnlángēn,36949
半半拉拉,bànbanlālā,56342
班组,bānzǔ,14239
板栗,bǎnlì,14181
半饱,bànbǎo,41562
般,bān,1223
板脸,bǎnliǎn,50814
半辈子,bànbèizi,22076
般配,bānpèi,32266
板铺,bǎnpù,51998
半边,bànbiān,16181
颁布,bānbù,3342
板球,bǎnqiú,41788
半边天,bànbiāntiān,26872
颁发,bānfā,4493
板上钉钉,bǎnshàngdìngdīng,42762
半成品,bànchéngpǐn,21787
颁奖,bānjiǎng,6434
板式,bǎnshì,50087
半大不小,bàndàbùxiǎo,51592
颁行,bānxíng,30674
板书,bǎnshū,41116
半导体,bàndǎotǐ,9540
斑,bān,13830
板刷,bǎnshuā,50088
半岛,bàndǎo,6376
半道,bàndào,42022
半月刊,bànyuèkān,20693
帮衬,bāngchèn,42023
半点儿,bàndiǎnr,11074
半月形,bànyuèxíng,44502
幇厨,bāngchú,41117
半吊子,bàndiàozi,50439
半载,bànzǎi,26531
帮倒忙,bāngdàománg,47363
半封建,bànfēngjiàn,16587
半殖民地,bànzhímíndì,14088
帮冬,bāngdōng,53809
半工半读,bàngōngbàndú,31829
半中间,bànzhōngjiān,51594
帮扶,bāngfú,4908
半官方,bànguānfāng,48301
半中腰,bànzhōngyāo,52882
帮工,bānggōng,25080
半酣,bànhān,37474
半子,bànzǐ,52001
帮规,bāngguī,55423
半价,bànjià,28381
半自动,bànzìdòng,46186
帮会,bānghuì,39617
半截,bànjié,11358
扮,bàn,10600
帮教,bāngjiào,10657
半斤八两,bànjīnbāliǎng,45585
扮酷,bànkù,54897
帮困,bāngkùn,16311
半径,bànjìng,12309
扮相,bànxiàng,31570
帮忙,bāngmáng,4510
半决赛,bànjuésài,6829
扮演,bànyǎn,5469
帮派,bāngpài,34350
半空,bànkōng,13443
扮装,bànzhuāng,54898
帮腔,bāngqiāng,33323
半老徐娘,bànlǎoxúniáng,44753
扮作,bànzuò,37475
帮手,bāngshou,15994
半路,bànlù,17148
伴,bàn,5225
帮贴,bāngtiē,49619
半路出家,bànlùchūjiā,42261
伴唱,bànchàng,39616
帮闲,bāngxián,31814
半票,bànpiào,40458
伴读,bàndú,51213
帮凶,bāngxiōng,26034
半瓶醋,bànpíngcù,55422
伴郎,bànláng,49725
帮佣,bāngyōng,48978
半坡,bànpō,37665
伴侣,bànlǚ,15130
帮主,bāngzhǔ,52002
半球,bànqiú,22954
伴娘,bànniáng,38388
帮助,bāngzhù,423
半山腰,bànshānyāo,25214
伴随,bànsuí,4647
帮子,bāngzi,25215
半晌,bànshǎng,30191
伴同,bàntóng,49727
梆硬,bāngyìng,52883
半身不遂,bànshēnbùsuí,34637
伴舞,bànwǔ,33688
梆子,bāngzi,8432
半身像,bànshēnxiàng,42262
伴音,bànyīn,50089
绑,bǎng,8002
半生,bànshēng,18392
伴游,bànyóu,44032
绑带,bǎngdài,48979
